BJD RV eRV Sindex Halpha PhotonCount ObsTime
2458685.46787 12.71 0.49 0.1945 0.04364 21761 4
2458685.46865 12.6 0.51 0.1964 0.04375 18224 3
2458685.46941 12.11 0.49 0.1931 0.04349 31321 3
2458685.47017 12.4 0.51 0.195 0.04361 19495 2
2458703.46927 -1.94 0.43 0.1946 0.04352 20785 3
2458703.47023 -1.33 0.47 0.197 0.04364 16018 3
2458703.471 -1.08 0.47 0.1977 0.04353 12226 3
2458703.47176 -2.44 0.39 0.1934 0.04344 23282 3
2458703.47252 -1.71 0.4 0.1941 0.0436 20540 3
2458703.47329 -1.34 0.44 0.1937 0.04367 22886 3
2458703.47405 -1.93 0.44 0.1951 0.04385 24903 3
2458703.47483 -1.96 0.4 0.1919 0.0437 26471 3
2458703.47559 -1.33 0.41 0.1936 0.04373 22849 3
2458703.47635 0 0.43 0.1948 0.04376 20990 3
2458704.46016 2.43 0.47 0.2003 0.04401 11334 3
2458704.46101 0.58 0.42 0.1955 0.04408 17471 4
2458704.46179 0.68 0.45 0.1964 0.04406 16033 4
2458704.46256 0.16 0.44 0.1938 0.0439 17692 4
2458704.46332 0.96 0.45 0.1953 0.04402 17799 4
2458704.46411 2.45 0.42 0.1969 0.04396 15335 4
2458704.46488 7.76 0.46 0.1974 0.04394 13073 4
2458704.46566 -1.54 0.43 0.1954 0.04417 19580 4
2458704.46645 2.7 0.44 0.196 0.04402 15354 4
2458704.46721 0.73 0.45 0.1955 0.04411 16531 4
2458705.46487 -4.61 0.42 0.1916 0.04452 30287 4
2458705.46608 -4.31 0.43 0.1923 0.04446 25154 4
2458705.46686 -4.41 0.43 0.1924 0.04436 26721 4
2458705.46764 -3.43 0.41 0.1922 0.0443 24500 4
2458705.46841 -2.87 0.44 0.1938 0.04445 23013 4
2458705.46919 -5.09 0.43 0.192 0.04424 26919 4
2458705.46997 -3.26 0.43 0.1909 0.04437 28086 4
2458705.47074 -3.56 0.4 0.194 0.04425 24204 4
2458705.47152 -3.22 0.42 0.1914 0.04438 26770 4
2458705.47231 -3.53 0.4 0.193 0.04445 24561 4
2458706.46069 -4.69 0.4 0.1925 0.04417 31956 4
2458706.46154 -4.3 0.44 0.1936 0.04418 24178 3
2458706.46232 -4.76 0.44 0.1926 0.04406 24903 3
2458706.46309 -5.34 0.42 0.1953 0.04425 22274 3
2458706.46387 -5.48 0.43 0.1943 0.04412 24318 3
2458706.46464 -4.75 0.44 0.1935 0.04414 23580 3
2458706.46542 -4.61 0.44 0.1949 0.04422 25811 3
2458706.46618 -4.9 0.43 0.1917 0.04422 25176 3
2458706.46694 -4.24 0.43 0.1926 0.04413 25277 3
2458706.46772 -4.35 0.41 0.1933 0.04424 22650 3
2458707.47197 -1.8 0.47 0.1921 0.04403 15155 4
2458707.4728 0.05 0.46 0.1955 0.04408 12819 4
2458707.47359 -4.59 0.45 0.1908 0.04418 18567 4
2458707.47438 16.92 0.61 0.1978 0.04407 8324 4
2458707.47516 0.67 0.5 0.1953 0.04405 12544 4
2458707.47594 -0.88 0.43 0.1946 0.04418 13777 4
2458707.47671 -1.69 0.48 0.1922 0.04429 15240 4
2458707.47749 2.14 0.5 0.1955 0.04424 11145 4
2458707.47826 -1.91 0.46 0.1943 0.04443 14821 4
2458707.47905 -1.4 0.47 0.1949 0.04411 14523 4
