BJD RV eRV Sindex Halpha PhotonCount ObsTime
2458675.59232 -24.3 0.8 0.1359 0.03542 82964 3
2458675.59307 -22 0.82 0.1344 0.03559 81646 3
2458675.59383 -20.49 0.81 0.1368 0.0356 43154 2
2458675.5946 -22.33 0.82 0.136 0.03558 83200 3
2458675.59537 -23.62 0.83 0.138 0.03546 45110 2
2458675.59612 -24.38 0.83 0.1375 0.03544 40489 2
2458675.59686 -25.45 0.83 0.1375 0.03546 37817 2
2458675.59762 -24.95 0.86 0.1385 0.03546 34199 2
2458675.59836 -23.91 0.82 0.1377 0.03541 34294 2
2458675.59911 -23.2 0.8 0.1341 0.0355 76432 3
2458676.45032 -18.63 0.82 0.1389 0.03515 45458 2
2458676.45115 -17.12 0.86 0.1411 0.03521 19935 1
2458676.45189 -17.97 0.85 0.1413 0.03526 23592 1
2458676.45263 -19.59 0.86 0.1409 0.03533 19719 1
2458676.45336 -19.6 0.82 0.1425 0.03514 18340 1
2458676.4541 -18.98 0.85 0.1399 0.03513 22405 1
2458676.45483 -16.65 0.83 0.143 0.03536 16728 1
2458676.45558 -17.79 0.84 0.1397 0.0353 20558 1
2458676.45632 -18.18 0.85 0.1408 0.03519 16534 1
2458676.45706 -21.78 0.83 0.1421 0.03507 16350 1
2458677.45265 -23.76 0.82 0.1435 0.03501 16610 1
2458677.45346 -20.04 0.85 0.1436 0.03518 16139 1
2458677.45421 -13.98 0.8 0.1411 0.03542 24716 1
2458677.45494 -16.28 0.79 0.1401 0.03509 29568 1
2458677.45568 -17.97 0.78 0.1404 0.03522 32988 1
2458677.45641 -19.79 0.8 0.1401 0.03522 27603 1
2458677.4577 -16.69 0.79 0.1375 0.03523 66719 3
2458677.45844 -17.22 0.74 0.137 0.03528 87965 3
2458677.45921 -16.82 0.79 0.137 0.03531 83179 3
2458677.45998 -19.57 0.77 0.1363 0.03519 87915 3
2458677.46073 -19.21 0.75 0.1369 0.03525 75955 3
2458678.51501 -17.47 0.73 0.1392 0.03552 88253 3
2458678.51608 -18.36 0.74 0.1387 0.03535 81750 3
2458678.51684 -20.57 0.74 0.1413 0.03529 56470 3
2458678.5176 -18.74 0.8 0.1459 0.03539 14274 3
2458678.51837 -20.53 0.78 0.1403 0.03542 67099 3
2458678.51913 -19.6 0.74 0.1391 0.0355 94004 3
2458678.5199 -20.11 0.74 0.1389 0.03548 92027 3
2458678.52067 -21.96 0.74 0.1397 0.03557 78733 3
2458678.52142 -20.63 0.76 0.1393 0.03559 73867 3
2458678.5222 -20.54 0.78 0.1403 0.0357 53806 3
2458679.45147 -18.62 0.73 0.1398 0.03552 66072 2
2458679.45237 -17.98 0.72 0.1383 0.03531 103290 3
2458679.45328 -17.61 0.74 0.1382 0.03531 113108 4
2458679.45404 -17.95 0.69 0.1374 0.03535 132359 4
2458679.45483 -16.99 0.69 0.137 0.03531 124622 4
2458679.45559 -18.2 0.74 0.1365 0.03542 87737 4
2458679.45637 -19.72 0.74 0.1378 0.03526 78253 3
2458679.45713 -19.52 0.72 0.1374 0.03522 91986 3
2458679.45789 -17.1 0.73 0.1377 0.0351 99514 3
2458679.45866 -13.9 0.71 0.137 0.03518 95793 3
2458680.4517 -17.94 0.72 0.1395 0.03542 105397 3
2458680.45361 -17.5 0.72 0.139 0.03555 114635 3
2458680.45442 -18.17 0.7 0.1397 0.03558 83139 2
2458680.4555 -20.86 0.72 0.1398 0.03554 57121 2
2458680.45652 -18.54 0.7 0.1397 0.0356 70083 2
2458680.45733 -21.14 0.71 0.1389 0.03548 108728 3
2458680.45815 -21.47 0.74 0.1408 0.03537 59093 2
2458680.45905 -17.95 0.73 0.1399 0.03546 67906 2
2458680.45986 -20.9 0.71 0.1403 0.03553 66966 2
2458681.4497 -12.92 0.69 0.1408 0.03549 40029 2
2458681.4508 -11.61 0.69 0.1407 0.0354 41269 2
2458681.45155 -12.97 0.72 0.1435 0.03542 22473 2
2458681.45229 -16.14 0.67 0.1408 0.0354 28047 2
2458681.45304 -14.77 0.69 0.1401 0.03532 35019 2
2458681.4538 -13.83 0.69 0.1398 0.03518 40318 2
2458681.45456 -13.22 0.71 0.1403 0.03533 39274 2
2458681.45531 -10.4 0.7 0.1398 0.03537 41813 2
2458681.45605 -13.01 0.71 0.1396 0.03537 40428 2
2458681.45681 -15.29 0.69 0.1397 0.03527 48657 2
2458682.46292 -15.67 0.64 0.1389 0.0352 52202 2
2458682.46375 -17.38 0.62 0.1394 0.03532 54085 2
2458682.4645 -13.59 0.65 0.1393 0.03521 51175 2
2458682.46526 -13.82 0.66 0.1386 0.03508 51484 2
2458682.466 -12.12 0.61 0.1381 0.03513 62730 2
2458682.46675 -12.77 0.66 0.1384 0.03507 50801 2
2458682.46749 -14.72 0.67 0.1388 0.03503 57068 2
2458682.46824 -13.29 0.65 0.1386 0.03506 58112 2
2458682.46898 -16.01 0.63 0.1395 0.03498 48419 2
2458682.46973 -12.42 0.64 0.1388 0.03505 61824 2
2458683.44936 -12.9 0.58 0.1395 0.03498 54352 5
2458683.45032 -17.85 0.7 0.1454 0.03484 14624 2
2458683.45116 -17.29 0.68 0.145 0.03495 14019 2
2458683.45191 -13.74 0.63 0.142 0.03504 21529 2
2458683.45266 -10.39 0.64 0.1397 0.03514 30201 2
2458683.45341 -10.53 0.61 0.1404 0.03507 27466 2
2458683.45415 -11.04 0.65 0.1401 0.03521 30214 2
2458683.45491 -12.41 0.62 0.1404 0.03496 28168 2
2458683.45566 -13.08 0.63 0.1412 0.03499 25359 2
2458683.45641 -11.31 0.6 0.14 0.03507 33559 2
2458684.4531 -14.02 0.62 0.1413 0.03545 26674 2
2458684.45398 -11.26 0.6 0.1406 0.03558 29263 2
2458684.45473 -13.12 0.6 0.1407 0.03555 36429 2
2458684.45549 -12.09 0.59 0.1393 0.03553 46009 2
2458684.45625 -10.01 0.61 0.14 0.03551 47411 2
2458684.457 -11.12 0.6 0.1406 0.03556 33813 2
2458684.45777 -12.72 0.57 0.1405 0.03553 42240 2
2458684.45852 -15.73 0.57 0.1399 0.03564 38806 2
2458684.45927 -14.16 0.59 0.1391 0.03551 47626 2
2458684.46003 -13.54 0.57 0.1403 0.03563 38395 2
2458685.45389 -11.69 0.56 0.1396 0.03506 47556 5
2458685.45487 -12.25 0.7 0.1487 0.03491 9465 2
2458685.45562 -10.02 0.72 0.1535 0.03506 6014 2
2458685.45639 -10.62 0.54 0.1393 0.03512 50594 4
2458685.45716 -11.99 0.54 0.138 0.03495 97820 3
2458685.45792 -12.92 0.52 0.1378 0.03511 99335 3
2458685.45868 -11.13 0.56 0.1381 0.03516 87046 3
2458685.45943 -14.67 0.53 0.1395 0.03509 67653 3
2458685.4602 -14.57 0.56 0.1379 0.035 98449 3
2458685.46094 -14.2 0.54 0.1387 0.03497 70920 3
2458703.46083 0.16 0.47 0.1415 0.03514 23448 1
2458703.46168 0.47 0.42 0.1395 0.03518 44913 2
2458703.46269 0 0.44 0.1385 0.03515 47590 2
2458703.46344 -0.09 0.4 0.1396 0.03511 49455 2
2458703.46418 3.2 0.43 0.1372 0.03505 58959 2
2458703.46494 0.26 0.42 0.1385 0.03498 60347 2
2458703.46569 3.1 0.43 0.1393 0.03504 44991 2
2458703.46643 -0.16 0.46 0.1386 0.03512 52258 2
2458703.4672 -1.09 0.45 0.1388 0.03513 49093 2
2458703.46794 0.17 0.42 0.1379 0.03506 62045 2
2458704.45147 0 0.48 0.1412 0.0353 29850 2
2458704.45236 3.43 0.47 0.1403 0.03543 37048 2
2458704.45311 4.95 0.5 0.1411 0.03544 29762 2
2458704.45387 -0.35 0.43 0.1414 0.03542 29145 2
2458704.45462 -0.49 0.48 0.1417 0.0353 23515 2
2458704.45536 0.21 0.47 0.141 0.03553 31319 2
2458704.45612 2.88 0.49 0.1416 0.03534 26749 2
2458704.45686 2.89 0.46 0.1407 0.03539 29420 2
2458704.45762 1.28 0.53 0.143 0.03523 18034 2
2458704.45838 2.88 0.48 0.1413 0.03525 25402 2
2458705.45659 4.84 0.5 0.141 0.03576 35294 2
2458705.45743 5.21 0.44 0.1402 0.03544 51098 2
2458705.45819 3.1 0.47 0.1419 0.03519 46747 2
2458705.45896 1.95 0.47 0.1409 0.03545 44691 2
2458705.45971 -1.28 0.47 0.1403 0.03537 53933 2
2458705.46046 -2.48 0.46 0.1392 0.03523 55070 2
2458705.46122 3.16 0.49 0.1402 0.03545 51529 2
2458705.46197 1.86 0.48 0.1417 0.03525 43446 2
2458705.46273 1.94 0.43 0.1415 0.03536 44176 2
2458705.46348 -2.15 0.46 0.1412 0.03534 43405 2
