tbin-tmin RVbinRes eRVbinRes
0.00149499997496605 -1.42329764898551 1.15738282316416
51.9560300000012 -1.39279140561985 1.19
141.749059999827 1.64932003320663 1.03
383.960409999825 0.255783453109725 1.06
463.851460000034 0.686859726559037 1.11
892.69169999985 1.86705234791721 0.98
1084.00272999983 2.98860967326002 0.99
1144.96560000023 -1.6304816256463 1.03
1155.96912000002 -0.632693366047548 1.13
1230.74809999997 0.0350844467131362 1.6
1233.73508000001 -1.46073302007606 1.02
1237.72646000003 -0.173327466040446 1.12
1300.63224000018 -1.21172125600427 1.25
1492.92797000008 -2.62644892377569 0.98
1495.89564999985 -1.42110246721204 1.03
1499.93228999991 1.27840572422588 0.95
1501.85106999986 1.20651463359903 1.03
1528.90424000006 0.228895095136954 0.93
1529.88140999991 1.57281755283401 1.02
1615.7159099998 0.140593420125829 1.28
1821.96377999987 1.62796027254996 0.93
1826.00883999979 -1.34885029105674 0.96
1851.01777999988 -0.538117150471806 1.01
1863.85788000003 0.0872030831477505 1.02
1917.84102999978 -2.09489400934901 1.06
1922.84452999989 0.452483876339244 1.07
1999.63112000003 -0.200532563419935 1.08
2188.9563099998 -0.416827820731673 1.07
2196.01599999983 0.72219584550124 0.98
2249.93155999994 -0.981090503812503 1.14
2271.85976999998 -1.81641713300143 1.04
2277.85554999998 -0.524674629311573 1.02
2304.76977000013 0.920823662934595 1.05
2354.67719000019 -0.187636229331291 1.15
2560.00834000017 0.196731490184992 0.91
2560.96046000021 0.896744767192499 0.92
2564.94096999988 -0.530636459789939 1.06
2624.90732999984 0.996573525664424 0.97
2661.81539000012 -0.991205614629323 1.1
3002.84255000018 0.381534148455109 0.87
3003.90501999995 -0.244036026330454 0.9
3004.89015999995 1.34293857784993 0.87
3005.82159999991 0.617510295119248 0.84
3006.86761000007 0.594194355487248 0.79
3007.77471000003 -0.32273976438029 0.83
3008.79321999988 -0.564957015126548 0.79
3063.72328000003 -0.490899991808024 0.89
3301.96716 0.949921728021237 0.93
3328.95197000005 0.332177177992497 0.755712520644797
