Period.day lnBF
1.1 -1.99344058810926
1.1 -1.99344058810764
1.11122324250452 -3.83184055911875
1.12267786609144 -4.45788918872919
1.13437110059934 -3.50335592454159
1.1463104802462 -3.72645148378138
1.15850385981784 -2.90478647384879
1.17095943190081 -4.3693310007987
1.18368574523887 -4.18279838982451
1.19669172429981 -4.37587118746222
1.20608694794517 -2.35844259040848
1.20998669014641 -4.07825381835952
1.22358038271437 -3.88206206677148
1.23748298460896 -2.20807382867935
1.25170514654261 -3.45928800804403
1.26625801454697 -4.15055509088671
1.28115325910566 -4.20524227813639
1.29640310636755 -4.64440022833647
1.31202037161622 -3.04537215042871
1.3224052054579 -3.76836279137306
1.32801849518798 -3.88797752982156
1.34441158105024 -3.63732221252251
1.3612144382728 -4.62194947184107
1.3784426256484 -3.56750594292362
1.3961124997452 -4.19114879189511
1.41424126670305 -2.40166418746932
1.41980285859422 3.70604610114758
1.43284703811834 -3.34595248568797
1.4499415074523 -2.91896460215768
1.45194889139902 -4.22015702966565
1.47156693501255 -4.49273453204267
1.49172237909583 -3.70301986731995
1.51243761194851 -4.22605871539421
1.53373628298942 -4.65019185068356
1.57818539113347 -2.47630057951908
1.58977775220196 -4.37697701131508
1.60139028322256 -3.73832827207851
1.62528774607663 -4.38183264323158
1.64990925499098 -3.05220801518276
1.6752882218777 -2.50136564929077
1.70146014653806 -3.58368754961021
1.7284627823394 -3.390579239198
1.74310017914945 -2.84112234759636
1.75633631792236 -3.77412460432407
1.78512357677786 -4.41100526702864
1.81487023677807 -3.85350614452582
1.84562507202853 -3.00650490303736
1.87744021973464 -0.606677143576654
1.91037147515412 -3.97270290214325
1.91120943184822 -3.18148161471542
1.94447861814529 -3.6189713219651
1.97982577533177 -2.88975920847975
2.01648182249961 -0.925457195870714
2.05452083253939 -4.56920015250081
2.09402257506321 -1.38562263814168
2.09553159140167 -4.09981730669168
2.13507307478755 -4.02311708983495
2.17776523690746 -3.90554027618686
2.22219954903021 -3.42767946536275
2.26848487083072 -4.46832185000495
2.29763027399666 -2.27492145868381
2.31673932449072 -2.46508271337883
2.36709130125465 -4.27477986390098
2.41968060216052 -4.41956083157735
2.47465973428654 -4.11003204217204
2.5192198951555 -3.98139227787983
2.53219538782351 -3.77541217159818
2.5924701241029 -2.06702625260197
2.65568431058777 -4.42439751994434
2.72205834603336 -1.4042956318326
2.76218021322804 -3.71958362430494
2.79183522788451 -3.97766783821169
2.86528352493547 -1.33227483178744
2.94270083190072 -4.08701117970634
3.02441779957358 -4.08725548631987
3.02857227549704 0.526857776925247
3.11080285565418 -4.33891111912431
3.20226775839787 -4.56697124889174
3.29927415968487 -3.92372868553081
