phase.day RVres eRV
0 7.25951551314158 1.12
86.8677699998952 0.569152552193687 1.2
512.720830000006 1.6806307087551 1.26
138.747742199613 -3.36380279857677 1.31
149.765442199813 -7.12430036914285 1.39
506.817652199691 -1.98351294231787 1.27
550.710722199915 0.0967464126450504 1.84
555.722222199937 -4.12617945698674 1.5
206.731764399528 1.04501061538852 1.38
222.660054399714 2.35344458315213 1.18
537.821014399722 1.28303940285928 1.29
544.764554399613 2.08167232412355 1.35
597.554864399682 0.72516379530172 1.34
598.676314399659 -3.50341791742931 1.38
0.427136599441383 7.15282381315597 1.25
208.721886599326 0.957281973480893 1.24
233.743946599198 6.17710107886718 1.24
293.596806599182 0.788558767501366 1.15
299.484666599316 2.94100205894311 1.37
285.596298799082 1.42918432004031 1.04
289.636908799107 -2.41883596400584 1.13
312.561718798871 -1.29050163498716 1.31
348.51622879894 -1.26389087290438 1.11
348.520008798852 -1.69326993924591 1.27
435.295768798958 2.93702857044654 1.19
435.299648799165 4.5867951995305 1.23
644.622078798875 -2.87524996154672 1.35
644.624868799164 -4.22538372843684 1.32
644.627748799208 -0.395521805679262 1.41
33.4745409986649 -1.760356700678 1.22
33.4804409988869 -0.840493128349765 1.28
44.4146109986764 0.90343598257608 1.24
66.3908009989832 -4.95433129122655 1.2
