BinPhase.day BinRV eBinRV
0 3.78057802864669 1.12
86.8677699998952 -2.64007593592464 1.2
512.720830000006 1.2786431578545 1.26
798.844159999862 0.0182401367585805 1.31
809.861860000063 -3.64426831880244 1.39
1166.91406999994 -0.386349279249718 1.27
1210.80714000016 1.29273918711347 1.84
1215.81864000019 -2.97388843929597 1.5
1526.92460000003 0.295225066556144 1.38
1542.85289000021 1.54144604551044 1.18
1858.01385000022 -0.32973687139913 1.29
1864.95739000011 0.458498738556897 1.35
1917.74770000018 -0.969060796224296 1.34
1918.86915000016 -5.19900335438088 1.38
1980.71639000019 5.39123101485698 1.25
2189.01114000008 -0.908745362744784 1.24
2214.03319999995 4.30976342349602 1.24
2273.88605999993 -1.07257800731717 1.15
2279.77392000007 1.08118393093997 1.37
115.959051279009 0.657706537068652 1.04
119.999661279035 -3.17506732888573 1.13
142.924471278799 -1.95705896078028 1.31
178.880871278823 -1.96420504620805 0.835767664337522
265.660461278989 3.65493577508184 0.855248629642053
474.987651279009 -1.05779779343182 0.784317179831496
523.936661278953 0.73620208715437 0.883120057638341
534.873781278853 3.09051939178122 1.24
