phase.day RV-model eRV
0 -0.429756495329745 0.68
0.000770000275224447 -0.909146101186881 0.7
0.00151999993249774 -1.23855156192154 0.68
0.00229000020772219 0.702058832221329 0.67
0.00304999994114041 0.232661298740865 0.72
0.00381000014021993 0.0932637656295405 0.69
0.00460000010207295 -0.556109986088359 0.67
0.00536999991163611 -0.145499592314636 0.71
0.00613000011071563 -0.634897125425958 0.66
0.00690999999642372 -1.01427880439805 0.69
0.858150000218302 2.70051564311701 0.7
0.858920000027865 1.02112603689073 0.67
0.859680000226945 1.35172850377941 0.71
0.860439999960363 4.18233097029894 0.77
0.861190000083297 13.6129255099334 0.92
0.861940000206232 6.06352004956791 0.84
0.862680000253022 8.95410666194821 0.86
0.86343999998644 10.9947091284677 0.88
0.864200000185519 3.97531159535642 0.83
0.864959999918938 7.60591406187596 0.78
1.86201000027359 2.49629492268939 0.66
1.86279000015929 2.72691324371731 0.69
1.863570000045 -1.59246843525478 0.65
1.86434999993071 -0.21185011422687 0.68
1.86513000028208 0.198768207170186 0.65
1.86592000024393 -0.710605544547715 0.65
1.86672000028193 -0.889971369011423 0.66
1.86750000016764 -0.229353047983508 0.67
1.86830000020564 0.301281127552784 0.66
1.86908000009134 -0.448100551419305 0.66
2.9236099999398 -1.95215418088889 0.64
2.92452999996021 -1.24142487904062 0.62
2.92531000031158 -1.90080655764357 0.66
2.926070000045 -1.28020409112403 0.68
2.92684999993071 -0.639585770096115 0.71
2.92762000020593 -3.15897537595325 0.74
2.92840000009164 -2.86835705492534 0.68
2.92917000036687 -1.53774666078248 0.69
2.92995000025257 -0.397128339754563 0.65
2.93070999998599 -1.11652587323503 0.68
3.86042000027373 -2.90952673570641 0.66
3.86122000031173 -2.08889256017012 0.64
3.86200000019744 -2.9582742391422 0.63
3.86275000032037 -1.65767969950772 0.62
3.86349999997765 -1.13708516024237 0.63
3.86424000002444 -3.87649854786207 0.64
3.86501000029966 -2.15588815371921 0.67
3.86575999995694 -2.29529361445386 0.63
3.86652000015602 -2.86469114756519 0.66
3.8672600002028 -3.59410453518489 0.68
4.86150000011548 -5.53595121618723 0.62
4.86232000030577 1.45469881385744 0.7
4.86306999996305 1.64529335312278 0.67
4.86383000016212 0.565895820011459 0.62
4.86458000028506 1.07649035964594 0.67
4.86532999994233 0.517084898911293 0.65
4.86608000006527 -0.862320561454222 0.63
4.86684000026435 -1.51171809456554 0.65
4.86759999999776 -0.291115628046011 0.64
4.8683500001207 -3.72052108841152 0.62
5.85783000010997 -3.27614111361486 0.58
5.85880000004545 -3.58537217586477 0.58
5.85957999993116 -3.29475385483686 0.6
5.86034000013024 -4.67415138794818 0.58
5.8611099999398 -2.84354099417446 0.61
5.86186000006273 -2.22294645453997 0.62
5.86262000026181 -4.5123439876513 0.58
5.86339000007138 -3.14173359387757 0.57
5.86415000027046 -3.9511311269889 0.6
5.86489999992773 -4.10053658772355 0.59
6.87066000001505 -3.53325114129862 0.57
6.87150999996811 -4.02257732986052 0.54
6.87227000016719 -4.15197486297185 0.61
6.87303000036627 -2.53137239608317 0.58
6.87378000002354 -4.44077785681782 0.62
6.87453000014648 -2.67018331718334 0.62
6.87529999995604 -3.16957292340961 0.57
6.87605000007898 -4.76897838377513 0.61
6.87680000020191 -4.99838384414064 0.57
6.87755000032485 -2.98778930450616 0.56
7.88682000013068 -2.00772141327104 0.56
7.88767000008374 -2.15704760183295 0.56
7.89111000020057 -3.55432064706381 0.57
7.89188000001013 -1.53371025329009 0.56
7.89265000028536 -2.61309985914722 0.54
7.89341000001878 -3.12249739262768 0.58
7.89415000006557 -2.32191078024739 0.61
7.89492999995127 -2.03129245921947 0.58
7.8957000002265 -2.67068206507661 0.54
7.89647000003606 -2.33007167130289 0.57
8.86091000027955 -1.48554138964779 0.51
