phase.day RVres eRV
0 -4.22683811001562 1.74
0.0029899999499321 3.79304238548763 1.55
51.9560300000012 -1.71378187135382 1.19
20.9050473287252 1.35673770160809 1.03
21.4283719865188 1.90824810466804 1.06
101.319421986728 0.361140062636719 1.11
46.7836113021355 1.51181805756958 0.98
117.250628631016 4.08471627675118 0.99
57.3694859603097 -1.98997057425397 1.03
68.3730059601044 -0.634533019707247 1.13
22.3079732889469 -0.325982325955616 1.6
25.294953288992 -1.49714016467601 1.02
29.2863332890133 1.21342662031142 1.12
92.1921132891598 -1.01493327718019 1.25
42.7998179468518 -3.00454547177084 0.98
45.7674979466206 -1.56544191306166 1.03
49.8041379466845 1.62797226796396 0.95
51.7229179466335 0.831590958171914 1.03
78.7760879468365 -0.14515914590576 0.93
79.7532579466892 1.20672256075407 1.02
44.743745275468 -0.2280216150241 1.28
9.30358993334289 1.28156040447907 0.93
13.3486499332596 -1.62248374828595 0.96
38.3575899333466 -0.863196437973788 1.01
51.1976899334934 -0.305483231255622 1.02
105.180839933246 -2.4931337040995 1.06
110.184339933354 0.0699370383823495 1.07
66.1269172624009 -0.586232349072382 1.08
13.7640819199669 -0.824773111259565 1.07
20.8237719199906 0.558712038981985 0.98
74.739331920101 -0.940544525569147 1.14
96.6675419201429 -1.45365677015537 1.04
102.66332192014 -0.844033390281594 1.02
8.73352924918981 0.638362690271158 1.05
58.6409492492512 -0.515425257218701 1.15
22.2840739070307 -0.185158668708339 0.91
23.2361939070615 1.2928630695245 0.92
27.2167039067353 -0.819326679856066 1.06
87.1830639066975 0.96072284462337 0.97
3.24711123587349 -1.32773669770508 1.1
102.586245893725 0.00888515933676337 0.87
103.648715893497 0.902467748557408 0.9
104.633855893501 1.03748271984226 0.87
105.565295893458 0.193400336057159 0.84
106.611305893623 0.165792329090874 0.79
107.518405893577 -0.54865978670583 0.83
108.536915893425 -0.55671422837244 0.79
42.6229632224822 -0.823307232212125 0.89
39.1788178802431 2.45778727038107 0.93
66.1609878804497 0.586719543636066 1.04
66.1662678801417 2.03662893700518 1.1
40.1102452091386 -0.987714020214956 0.94
