phase.day RV-model eRV
0 15.0716765371353 1.12
86.8677699998952 10.1022163327873 1.2
512.720830000006 -4.16099859686719 1.26
138.747742199613 5.67840617580599 1.31
149.765442199813 1.66608461979699 1.39
506.817652199691 -8.75507892646987 1.27
550.710722199915 -0.454489013912491 1.84
555.722222199937 -4.08099640456023 1.5
206.731764399528 7.58581923655184 1.38
222.660054399714 7.93691996380313 1.18
537.821014399722 -0.91343838871467 1.29
544.764554399613 0.791400695938881 1.35
597.554864399682 4.85819126371578 1.34
598.676314399659 0.718972823479916 1.38
0.427136599441383 14.9820753374646 1.25
208.721886599326 7.38723989735131 1.24
233.743946599198 10.9946782453046 1.24
293.596806599182 -0.223609161939886 1.15
299.484666599316 1.18049419930947 1.37
285.596298799082 1.38084883942182 1.04
289.636908799107 -2.94633518287194 1.13
312.561718798871 -4.83035844820098 1.31
348.51622879894 -10.3853010685978 1.11
348.520008798852 -10.8152984342442 1.27
435.295768798958 -13.7448227621053 1.19
435.299648799165 -12.0948200580596 1.23
644.622078798875 4.25106071150056 1.35
644.624868799164 2.90106265590466 1.32
644.627748799208 6.73106466303128 1.41
33.4745409986649 7.11517411388904 1.22
33.4804409988869 8.03517822571104 1.28
44.4146109986764 10.0127984560613 1.24
66.3908009989832 4.46811407947177 1.2
