phase.day RV-model eRV
0 13.1948885438848 1.12
86.8677699998952 8.26378074505128 1.2
512.720830000006 -5.81141866116165 1.26
147.594664534664 4.15431050063005 1.31
158.612364534864 0.146853295326098 1.39
515.664574534742 -10.1166705285467 1.27
559.557644534966 -1.79670168154756 1.84
564.569144534988 -5.42099647849989 1.5
224.42560906963 6.38317346485706 1.38
240.353899069816 6.74130658441266 1.18
555.514859069824 -1.96990717005356 1.29
562.458399069715 -0.262002489704595 1.35
615.248709069785 3.82809517317055 1.34
616.370159069761 -0.310628143210239 1.38
26.9679036045948 13.9797801301883 1.25
235.262653604479 6.47690750572638 1.24
260.284713604351 10.0953931752804 1.24
320.137573604336 -1.0964689978649 1.15
326.025433604469 0.31023387289573 1.37
320.983988139286 0.795891487637097 1.04
325.024598139312 -3.52950859208225 1.13
347.949408139076 -5.40341047856784 1.31
383.903918139144 -10.9424790648136 1.11
383.907698139056 -11.3724747615777 1.27
470.683458139162 -14.2636873066411 1.19
470.68733813937 -12.6136828895626 1.23
28.7602726738805 3.82461441974124 1.35
28.7630626741702 2.47461759593961 1.32
28.7659426742139 6.30462087459571 1.41
77.7091526739205 6.71033891327717 1.22
77.7150526741425 7.63034562996863 1.28
88.6492226739319 9.61279333225464 1.24
110.625412674239 4.07781151566589 1.2
