phase.day RVres eRV
0 3.50621565295569 1.12
86.8677699998952 -2.15099793972172 1.2
512.720830000006 1.02354938236713 1.26
798.844159999862 -0.590833488749747 1.31
809.861860000063 -4.07632608746578 1.39
1166.91406999994 -0.991720230239572 1.27
1210.80714000016 1.83029820853318 1.84
1215.81864000019 -2.37792253363163 1.5
1526.92460000003 0.906807768192971 1.38
1542.85289000021 2.63550223159472 1.18
1858.01385000022 -0.246620886520743 1.29
1864.95739000011 0.590687245071947 1.35
1917.74770000018 -1.27509702757591 1.34
1918.86915000016 -5.52532500517524 1.38
1980.71639000019 3.69769384494382 1.25
2189.01114000008 -3.74384351350567 1.24
2214.03319999995 2.05667329274557 1.24
2273.88605999993 -1.75543917918731 1.15
2279.77392000007 0.509358150041893 1.37
619.353154134058 1.45623443367514 1.04
623.393764134083 -2.3146430846501 1.13
646.318574133847 -0.860320417806418 1.31
682.273084133916 -0.928946640705027 1.11
682.276864133828 -1.35838191990116 1.27
769.052624133933 3.17708671610297 1.19
769.056504134141 4.8270722182104 1.23
978.37893413385 0.531959121933496 1.35
978.38172413414 -0.818282308243345 1.32
978.384604134184 3.01146847781379 1.41
1027.32781413389 -0.237100046642781 1.22
1027.33371413411 0.682543553838764 1.28
1038.2678841339 2.0243430249479 1.24
1060.24407413421 -4.60199082316489 1.2
