phase.day RV-model eRV
0 6.30592647118176 1.12
86.8677699998952 0.277592292640022 1.2
512.720830000006 -0.394473342333764 1.26
798.844159999862 -3.69744770568057 1.31
809.861860000063 -7.20100390829007 1.39
1166.91406999994 -3.1988290625711 1.27
1210.80714000016 -0.126869854014351 1.84
1215.81864000019 -4.30546999824291 1.5
1526.92460000003 1.03681159637028 1.38
1542.85289000021 2.8735608285973 1.18
1858.01385000022 1.89543262416166 1.29
1864.95739000011 2.76646172532089 1.35
1917.74770000018 1.13994684742628 1.34
1918.86915000016 -3.10554538549754 1.38
1980.71639000019 6.35382587248751 1.25
2189.01114000008 -0.741557194464225 1.24
2214.03319999995 5.04311265536139 1.24
2273.88605999993 1.13416498420269 1.15
2279.77392000007 3.38476789349904 1.37
619.353154134058 -0.850907430023292 1.04
623.393764134083 -4.65007470612007 1.13
646.318574133847 -3.34776443741524 1.31
682.273084133916 -3.62465436597189 1.11
682.276864133828 -4.05410955396307 1.27
769.052624133933 0.136971446583545 1.19
769.056504134141 1.78694658864979 1.23
978.37893413385 -2.47278659114042 1.35
978.38172413414 -3.82302058714454 1.32
978.384604134184 0.00673787306068174 1.41
1027.32781413389 -3.08845972270013 1.22
1027.33371413411 -2.16879499933057 1.28
1038.2678841339 -0.78682527025706 1.24
1060.24407413421 -7.32644812826368 1.2
