phase.day RV-model eRV
0 -12.3097630769698 1.12
86.8677699998952 -18.7695139344696 1.2
512.720830000006 -14.030759514667 1.26
798.844159999862 -15.6324042711584 1.31
809.861860000063 -19.4673216511147 1.39
1166.91406999994 -11.3299076697658 1.27
1210.80714000016 -7.77508913944559 1.84
1215.81864000019 -11.8322160430218 1.5
1526.92460000003 -4.30555846259859 1.38
1542.85289000021 -3.11953503110168 1.18
1858.01385000022 -0.309739242172195 1.29
1864.95739000011 0.762499796271779 1.35
1917.74770000018 1.18482786235694 1.34
1918.86915000016 -3.01297375990821 1.38
1980.71639000019 8.91539037922579 1.25
2189.01114000008 3.15271894037659 1.24
2214.03319999995 8.29347824704215 1.24
2273.88605999993 3.35898387337431 1.15
2279.77392000007 5.66011439265569 1.37
2925.98197000008 11.9070912859929 1.04
2930.02258000011 8.17316417892506 1.13
2952.94738999987 10.2101170329723 1.31
2988.90189999994 12.4867621870975 1.11
2988.90567999985 12.0576322741169 1.27
3075.68143999996 13.487960575494 1.19
3075.68532000016 15.13741009111 1.23
3285.00774999987 12.8465015695765 1.35
3285.01054000016 11.4964282360676 1.32
3285.01342000021 15.3263525399075 1.41
3333.95662999991 14.7910620907958 1.22
3333.96253000014 15.7110009100837 1.28
3344.89669999992 17.5855249997893 1.24
3366.87289000023 11.9407533887716 1.2
