phase.day RV-model eRV
0 -4.164652656304 1.74
0.0029899999499321 3.85522795520877 1.55
2.26883261850533 -1.64959204559123 1.19
1.72150374288441 1.4244108292406 1.03
0.0138847791752141 1.98531356185068 1.06
3.11562973525463 0.441308903683899 1.11
2.8391650766971 1.60860662456888 0.98
4.43544143824101 4.18893363205329 0.99
2.16006022582383 -1.88339928481913 1.03
4.12954433807386 -0.527533267175111 1.13
2.11921929388859 -0.216082920728795 1.6
0.589181350161198 -1.38711008806705 1.02
0.0635434064101901 1.32361395896722 1.12
4.2480901375161 -0.902320148150099 1.25
2.31204855520127 -2.8844828393505 0.98
0.76271061119769 -1.44526452596101 1.03
0.282332667489072 1.74830627598585 0.95
2.20111266743811 0.951999537081866 1.03
2.15217500500717 -0.0236972205174378 0.93
3.12934500485994 1.32822254656263 1.02
3.14050407306604 -0.103198232506996 1.28
1.60554865961717 1.41439207829059 0.93
1.13359071576133 -1.48949730494673 0.96
3.55744099698677 -0.729247559896219 1.01
2.84648716581637 -0.171038119335852 1.02
2.62542184030076 -2.35658629425531 1.06
3.11190389663648 0.206679313845435 1.07
3.10918885265551 -0.446520454314278 1.08
2.719625213987 -0.677713475189307 1.07
0.745279326466061 0.706035691974479 0.98
0.456624001308228 -0.791125856353467 1.14
4.31676222626083 -1.30338393396632 1.04
1.27850633871367 -0.693526990103576 1.02
1.09061867623086 0.789915527805983 1.05
1.31084129479632 -0.361947905032175 1.15
3.37618382502433 -0.0237222965774095 0.91
4.32830382505517 1.4543378872382 0.92
3.79179588095667 -0.657684222961499 1.06
0.519904668105937 1.12468322833657 0.97
1.29182111820501 -1.16233901413846 1.1
3.54263533533458 0.187502650333008 0.87
0.0880873913338291 1.08112663654622 0.9
1.07322739133815 1.21617999199845 0.87
2.00466739129479 0.372133900130239 0.84
3.05067739146034 0.344566649052942 0.79
3.9577773914134 -0.369850123402003 0.83
0.459269447489987 -0.377864881228406 0.79
1.18511412238058 -0.642338370036855 0.89
0.0270431024114259 2.64799450985884 0.93
4.42412338375652 0.777975023231901 1.04
4.42940338344852 2.22788462225935 1.1
4.36001656432791 -0.792785337846725 0.94
