phase.day RV-model eRV
0 15.6388363857002 1.12
86.8677699998952 10.6478435333051 1.2
512.720830000006 -3.72093119212579 1.26
124.995956542811 6.04754977344441 1.31
136.013656543011 2.03249716705398 1.39
493.065866542889 -8.47717192703988 1.27
536.958936543113 -0.18746216057144 1.84
541.970436543135 -3.81521179406355 1.5
179.228193085924 7.77448738438319 1.38
195.15648308611 8.12163983182292 1.18
510.317443086118 -0.806840130468677 1.29
517.260983086009 0.896277800263017 1.35
570.051293086079 4.9499827879044 1.34
571.172743086056 0.810486364382547 1.38
633.019983086087 15.0582582804757 1.25
167.46652962892 7.41179106091415 1.24
192.488589628792 11.0130269794579 1.24
252.341449628777 -0.220096661858119 1.15
258.22930962891 1.18254722578977 1.37
230.589156171874 1.22272081709839 1.04
234.6297661719 -3.10546478533293 1.13
257.554576171664 -4.9951706169955 1.31
293.509086171733 -10.5590255855456 1.11
293.512866171644 -10.9890238881725 1.27
380.28862617175 -13.9400580567846 1.19
380.292506171958 -12.2900563145074 1.23
589.614936171667 4.00393793588067 1.35
589.617726171957 2.65393918870382 1.32
589.620606172 6.4839404819405 1.41
638.563816171707 6.85591796584183 1.22
638.569716171929 7.77592061518093 1.28
649.503886171718 9.75083050043665 1.24
671.480076172025 4.20069869996723 1.2
