t-tmin RVres eRVres
0 -4.22607931604591 1.74
0.0029899999499321 3.7939741375957 1.55
51.9560300000012 -1.69368988654906 1.19
141.749059999827 1.38267621352979 1.03
383.960409999825 1.89814035704064 1.06
463.851460000034 0.379800603349239 1.11
892.69169999985 1.54089748991614 0.98
1084.00272999983 2.13564860496978 0.99
1144.96560000023 -1.9497722893018 1.03
1155.96912000002 -0.588694864537557 1.13
1230.74809999997 -0.277371738267925 1.6
1233.73508000001 -1.46827786011581 1.02
1237.72646000003 1.23349079078233 1.12
1300.63224000018 -0.968346783933101 1.25
1492.92797000008 -2.96241664831723 0.98
1495.89564999985 -1.51124799830892 1.03
1499.93228999991 1.68214863882742 0.95
1501.85106999986 0.81909214609605 1.03
1528.90424000006 -0.0904188471976007 0.93
1529.88140999991 1.25603104334346 1.02
1615.7159099998 -0.171879754860136 1.28
1821.96377999987 1.33400347075754 0.93
1826.00883999979 -1.57211701247422 0.96
1851.01777999988 -0.808735875722109 1.01
1863.85788000003 -0.245735605121779 1.02
1917.84102999978 -2.4313239093947 1.06
1922.84452999989 0.130655530884291 1.07
1999.63112000003 -0.540817369346457 1.08
2188.9563099998 -0.803513037093731 1.07
2196.01599999983 0.625272487436387 0.98
2249.93155999994 -0.873668166877952 1.14
2271.85976999998 -1.4513274680426 1.04
2277.85554999998 -0.775951660860286 1.02
2304.76977000013 0.673773871048231 1.05
2354.67719000019 -0.517247696955826 1.15
2560.00834000017 -0.109997300383992 0.91
2560.96046000021 1.3573383191016 0.92
2564.94096999988 -0.751231502271246 1.06
2624.90732999984 1.02455465263923 0.97
2661.81539000012 -1.28013179132509 1.1
3002.84255000018 0.0930032526310366 0.87
3003.90501999995 0.976160469054439 0.9
3004.89015999995 0.0459080180295915 0.87
3005.82159999991 0.266247410741818 0.84
3006.86761000007 0.249951968402405 0.79
3007.77471000003 -0.469653268239323 0.83
3008.79321999988 -0.553367119858538 0.79
3063.72328000003 -0.750917927908902 0.89
3301.96716 2.53752604534053 0.93
3328.94933000021 0.670796491411802 1.04
3328.9546099999 2.12079643142638 1.1
3423.7426 -0.913457515956975 0.94
