tbin-tmin RVbinRes eRVbinRes
0 7.73446793350416 1.12
86.8677699998952 1.10515533739686 1.2
512.720830000006 2.83506192492708 1.26
798.844159999862 -3.72786930757183 1.31
809.861860000063 -7.06932281850213 1.39
1166.91406999994 -2.54683039972483 1.27
1210.80714000016 0.120121815569752 1.84
1215.81864000019 -5.04177124649671 1.5
1526.92460000003 -0.360014958703101 1.38
1542.85289000021 1.49054642128169 1.18
1858.01385000022 0.043408975256 1.29
1864.95739000011 1.1760003713448 1.35
1917.74770000018 1.26100945484823 1.34
1918.86915000016 -4.40165732482507 1.38
1980.71639000019 4.24576954434417 1.25
2189.01114000008 0.852525397312856 1.24
2214.03319999995 0.642356250236985 1.24
2273.88605999993 -1.77909283891069 1.15
2279.77392000007 -3.78915850327435 1.37
2925.98197000008 2.26573429753502 1.04
2930.02258000011 -1.26817353237615 1.13
2952.94738999987 0.222143127894802 1.31
2988.90378999989 1.89595533510494 0.835767664337522
3075.68338000006 -0.00486708897605885 0.855248629642053
3285.01057000008 -0.620655081592962 0.784317179831496
3333.95958000002 1.4929201305195 0.883120057638341
3344.89669999992 1.25003340574456 1.24
